código,nome,nome completo,ispb
136.0,CONF NAC COOP CENTRAIS UNICRED,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASI,00315557
138.0,GET MONEY CC LTDA,Get Money Corretora de Câmbio S.A.,10853017
139.0,INTESA SANPAOLO BRASIL S.A. BM,Intesa Sanpaolo Brasil S.A. - Banco Múltiplo,55230916
140.0,NU INVEST CORRETORA DE VALORES S.A.,NU INVEST CORRETORA DE VALORES S.A.,62169875
141.0,MASTER BI S.A.,BANCO MASTER DE INVESTIMENTO S.A.,09526594
142.0,BROKER BRASIL CC LTDA.,Broker Brasil Corretora de Câmbio Ltda.,16944141
143.0,TREVISO CC S.A.,Treviso Corretora de Câmbio S.A.,02992317
144.0,BEXS BCO DE CAMBIO S.A.,BEXS BANCO DE CÂMBIO S/A,13059145
145.0,LEVYCAM CCV LTDA,LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.,50579044
146.0,GUITTA CC LTDA,GUITTA CORRETORA DE CAMBIO LTDA.,24074692
149.0,FACTA S.A. CFI,Facta Financeira S.A. - Crédito Financiamento e Investimento,15581638
157.0,ICAP DO BRASIL CTVM LTDA.,ICAP do Brasil Corretora de Títulos e Valores Mobiliários Ltda.,09105360
159.0,CASA CREDITO S.A. SCM,Casa do Crédito S.A. Sociedade de Crédito ao Microempreendedor,05442029
173.0,BRL TRUST DTVM SA,BRL Trust Distribuidora de Títulos e Valores Mobiliários S.A.,13486793
174.0,PEFISA S.A. - C.F.I.,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",43180355
177.0,GUIDE,Guide Investimentos S.A. Corretora de Valores,65913436
180.0,CM CAPITAL MARKETS CCTVM LTDA,"CM CAPITAL MARKETS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA",02685483
183.0,SOCRED SA - SCMEPP,SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO P,09210106
184.0,BCO ITAÚ BBA S.A.,Banco Itaú BBA S.A.,17298092
188.0,ATIVA S.A. INVESTIMENTOS CCTVM,"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES",33775974
189.0,HS FINANCEIRA,"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS",07512441
190.0,SERVICOOP,SERVICOOP - COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS ESTADUAIS E MUNICIPAI,03973814
191.0,NOVA FUTURA CTVM LTDA.,Nova Futura Corretora de Títulos e Valores Mobiliários Ltda.,04257795
194.0,PARMETAL DTVM LTDA,PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,20155248
195.0,VALOR SCD S.A.,VALOR SOCIEDADE DE CRÉDITO DIRETO S.A.,07799277
196.0,FAIR CC S.A.,FAIR CORRETORA DE CAMBIO S.A.,32648370
197.0,STONE IP S.A.,STONE INSTITUIÇÃO DE PAGAMENTO S.A.,16501555
208.0,BANCO BTG PACTUAL S.A.,Banco BTG Pactual S.A.,30306294
212.0,BANCO ORIGINAL,Banco Original S.A.,92894922
213.0,BCO ARBI S.A.,Banco Arbi S.A.,54403563
217.0,BANCO JOHN DEERE S.A.,Banco John Deere S.A.,91884981
218.0,BCO BS2 S.A.,Banco BS2 S.A.,71027866
222.0,BCO CRÉDIT AGRICOLE BR S.A.,BANCO CRÉDIT AGRICOLE BRASIL S.A.,75647891
224.0,BCO FIBRA S.A.,Banco Fibra S.A.,58616418
233.0,BANCO CIFRA,Banco Cifra S.A.,62421979
237.0,BCO BRADESCO S.A.,Banco Bradesco S.A.,60746948
241.0,BCO CLASSICO S.A.,BANCO CLASSICO S.A.,31597552
243.0,BANCO MASTER,BANCO MASTER S/A,33923798
246.0,BCO ABC BRASIL S.A.,Banco ABC Brasil S.A.,28195667
249.0,BANCO INVESTCRED UNIBANCO S.A.,Banco Investcred Unibanco S.A.,61182408
250.0,"BCV - BCO, CRÉDITO E VAREJO S.A.",BCV - BANCO DE CRÉDITO E VAREJO S.A.,50585090
253.0,BEXS CC S.A.,Bexs Corretora de Câmbio S/A,52937216
254.0,PARANA BCO S.A.,PARANÁ BANCO S.A.,14388334
259.0,MONEYCORP BCO DE CÂMBIO S.A.,MONEYCORP BANCO DE CÂMBIO S.A.,08609934
260.0,NU PAGAMENTOS - IP,NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,18236120
265.0,BCO FATOR S.A.,Banco Fator S.A.,33644196
266.0,BCO CEDULA S.A.,BANCO CEDULA S.A.,33132044
268.0,BARI CIA HIPOTECÁRIA,BARI COMPANHIA HIPOTECÁRIA,14511781
269.0,BCO HSBC S.A.,BANCO HSBC S.A.,53518684
270.0,SAGITUR CC,SAGITUR CORRETORA DE CÂMBIO S.A.,61444949
271.0,IB CCTVM S.A.,"IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",27842177
272.0,AGK CC S.A.,AGK CORRETORA DE CAMBIO S.A.,00250699
273.0,CCR DE SÃO MIGUEL DO OESTE,Cooperativa de Crédito Rural de São Miguel do Oeste - Sulcredi/São Miguel,08253539
274.0,BMP SCMEPP LTDA,BMP SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.,11581339
